labels,MNI_x,MNI_y,MNI_z,MNI_R,T1_x,T1_y,T1_z,T1_R,AR_Percentage,T1_AnatomicalRegion,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12,AR_13
G15,-61,-5.333333,47.333333,G,-52.855541,-3.575223,39.646015,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G16,-57,-15,54,G,-47.848824,-13.450125,42.39291,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G17,-60.5,38.5,-1.5,G,-53.626087,48.38224,6.198967,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G18,-64,29.333333,4.666667,G,-54.117046,39.075138,10.279065,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G19,-66,21.333333,10.666667,G,-56.209934,30.267097,14.793996,G,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G20,-67,12,17,G,-56.316837,20.432734,18.629267,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G21,-68,4,23,G,-59.571957,11.950745,22.967915,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G22,-66.5,-3,31,G,-57.569141,1.934451,26.924332,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G23,-67.2,-12.4,36.8,G,-59.112942,-7.116146,30.703022,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G24,-57.36,-18.33,49,G,-55.381931,-17.238817,35.076477,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G25,-58.666667,30,-10.666667,G,-50.501286,42.721313,-2.894859,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G26,-60.5,21,-3.5,G,-51.197414,33.874489,1.407709,G,100.00%,insula,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G27,-64.5,15,1.5,G,-54.831944,25.480259,5.335471,G,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G28,-69.333333,7.333333,7,G,-58.65765,16.019289,9.594365,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G29,-70.666667,-2,14.666667,G,-60.853069,7.294521,13.962495,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G30,-70,-10,23,G,-61.659149,-2.356596,18.447313,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G31,-70,-18,29,G,-60.563698,-11.787465,21.982897,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G32,-69.2,-27.6,37.2,G,-58.291447,-21.763229,26.418783,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G33,-56,25.333333,-20.666667,G,-48.3447,37.628658,-12.224912,G,100.00%,rSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G34,-62.666667,18.666667,-12,G,-53.393402,29.701685,-7.898155,G,100.00%,rSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G35,-66.666667,10,-6.666667,G,-58.582844,21.213131,-3.4606,G,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G36,-70,1,-1,G,-61.520695,12.214406,0.253289,G,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G37,-72,-8.666667,5.333333,G,-63.081142,2.5903,4.813908,G,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G38,-72,-16,13,G,-63.292252,-6.899811,9.017879,G,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G39,-70,-24,20,G,-60.443867,-16.136122,13.403052,G,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G40,-69.6,-33.2,26.8,G,-60.072044,-25.433422,17.261347,G,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G41,-57,20,-29,G,-50.597775,33.169117,-21.09638,G,100.00%,rSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G42,-63,12,-23,G,-56.984341,25.480343,-17.112337,G,100.00%,rSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G43,-68,3,-15,G,-61.295811,16.655447,-12.374871,G,100.00%,rSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G44,-71,-6,-9,G,-64.063957,7.712629,-8.276477,G,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G45,-73,-14.5,-3.5,G,-64.678528,-1.629132,-3.832168,G,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G46,-72.8,-22.4,4.8,G,-64.501694,-11.488234,0.682795,G,100.00%,cSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G47,-72,-32,12,G,-63.188194,-21.065607,4.771918,G,100.00%,cSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G48,-70.4,-38.8,19.2,G,-61.640331,-29.547533,9.195468,G,100.00%,cSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G49,-56,13,-38,G,-49.873543,28.928925,-30.219358,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G50,-62.666667,4.666667,-30,G,-57.421093,20.784895,-26.320101,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G51,-67.6,-2.8,-25.2,G,-61.992321,12.240189,-22.134375,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G52,-72,-13,-18,G,-64.990379,2.938583,-17.565491,G,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G53,-73.5,-21.5,-11,G,-65.10685,-6.375659,-13.496393,G,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G54,-73,-28.666667,-3.333333,G,-65.383446,-15.799161,-8.937447,G,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G55,-72.666667,-37.333333,3,G,-63.274632,-24.682163,-4.091591,G,100.00%,cMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G56,-70,-46,11,G,-62.049603,-34.433804,0.098667,G,100.00%,cMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G57,-50,4,-47,G,-44.75267,22.931662,-39.027115,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G58,-57.333333,-3,-39.333333,G,-50.9482,14.685513,-34.724106,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G59,-64.857143,-11.142857,-33.142857,G,-58.827156,6.858859,-31.277569,G,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G60,-68,-20,-28,G,-59.287029,-2.041742,-26.110079,G,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G61,-70.666667,-28,-18.666667,G,-62.424355,-11.003441,-21.826775,G,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G62,-72,-36,-13,G,-64.009308,-20.585815,-17.187803,G,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G63,-71.5,-45,-5.5,G,-61.210579,-29.522537,-12.049457,G,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G64,-68,-52,2,G,-60.783875,-38.240955,-7.842965,G,100.00%,cMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G65,-52,45.333333,18.666667,EG,-46.689754,51.509312,25.629477,EG,100.00%,rostralmiddlefrontal,,,,,,,
G66,-53.333333,39.333333,25,EG,-47.034817,43.585629,29.195288,EG,100.00%,rostralmiddlefrontal,,,,,,,
G67,-55,29,32,EG,-49.096226,33.127682,33.967682,EG,100.00%,rostralmiddlefrontal,,,,,,,
G68,-54.5,45.5,12.5,EG,-47.636406,52.367657,20.443462,EG,100.00%,rostralmiddlefrontal,,,,,,,
G69,-54.666667,42.666667,16,EG,-48.411819,49.704723,22.982254,EG,100.00%,rostralmiddlefrontal,,,,,,,
G70,-55,38.5,19.5,EG,-49.893871,44.563995,24.615576,EG,100.00%,rostralmiddlefrontal,,,,,,,
G71,-58.8,33.2,21.2,EG,-51.055939,39.767292,25.573717,EG,100.00%,parsopercularis,,,,,,,
G72,-59.5,31,24.5,EG,-51.025692,36.765369,26.658735,EG,100.00%,parsopercularis,,,,,,,
G73,-58.666667,27.333333,30,EG,-51.869263,32.31007,30.068758,EG,100.00%,rostralmiddlefrontal,,,,,,,
G74,-58,38.666667,11.333333,EG,-50.614197,46.704414,17.888437,EG,100.00%,parstriangularis,,,,,,,
G75,-61.333333,32,17.333333,EG,-53.3484,38.928631,21.327974,EG,100.00%,parsopercularis,,,,,,,
G76,-63.5,24.5,22.5,EG,-53.386967,30.535769,23.635429,EG,100.00%,parsopercularis,,,,,,,
G77,-60,41.333333,3.333333,EG,-53.64529,50.203304,11.063759,EG,100.00%,parstriangularis,,,,,,,
G78,-60,36,5,EG,-52.692532,45.581448,12.15874,EG,100.00%,parstriangularis,,,,,,,
G79,-62,33,10,EG,-53.189461,41.094433,15.261954,EG,100.00%,parstriangularis,,,,,,,
G80,-63.5,29.5,13,EG,-54.069099,37.632557,17.0319,EG,46.94%,parstriangularis,53.06%,parsopercularis,,,,,
G81,-64.5,24.5,16.5,EG,-55.597198,32.779758,19.154242,EG,100.00%,parsopercularis,,,,,,,
G82,-66,20,19,EG,-55.008831,27.750336,20.586882,EG,100.00%,parsopercularis,,,,,,,
G83,-66,13,23,EG,-55.24519,21.047827,22.483437,EG,100.00%,precentral,,,,,,,
G84,-66,11.333333,26.666667,EG,-56.51421,18.491774,25.07383,EG,100.00%,precentral,,,,,,,
G85,-66,8,29,EG,-57.343605,13.307543,27.334724,EG,100.00%,precentral,,,,,,,
G86,-62.4,32.8,1.2,EG,-54.290081,43.50737,7.724993,EG,100.00%,parstriangularis,,,,,,,
G87,-64,24.666667,8.666667,EG,-54.948418,34.707611,12.824522,EG,33.48%,parstriangularis,66.52%,parsopercularis,,,,,
G88,-65.333333,16,14.666667,EG,-55.792233,24.846283,16.201031,EG,100.00%,parsopercularis,,,,,,,
G89,-68,8,21,EG,-58.214348,16.27092,20.348759,EG,100.00%,precentral,,,,,,,
G90,-68,2,29,EG,-59.391354,7.204272,25.19696,EG,100.00%,precentral,,,,,,,
G91,-66.857143,-7.142857,35.142857,EG,-59.030045,-2.574908,29.562893,EG,100.00%,postcentral,,,,,,,
G92,-60,34,-5,EG,-51.892723,45.736683,2.120476,EG,100.00%,parstriangularis,,,,,,,
G93,-62,29.333333,-4.666667,EG,-53.222092,40.789215,2.55609,EG,100.00%,parstriangularis,,,,,,,
G94,-60.8,23.2,0.8,EG,-51.702633,36.92944,6.620497,EG,100.00%,parstriangularis,,,,,,,
G95,-63,22.5,3.5,EG,-53.21727,33.027172,8.260232,EG,11.90%,parstriangularis,88.10%,parsopercularis,,,,,
G96,-64,17,6,EG,-54.560265,27.703661,9.80863,EG,100.00%,parsopercularis,,,,,,,
G97,-66,14,9,EG,-55.763416,23.636131,11.780876,EG,100.00%,parsopercularis,,,,,,,
G98,-68,10,11,EG,-56.924854,18.29929,13.841071,EG,100.00%,precentral,,,,,,,
G99,-69.333333,4,17.333333,EG,-59.368477,12.641744,17.39023,EG,100.00%,precentral,,,,,,,
G100,-70.666667,2,18.666667,EG,-61.085678,9.398474,18.439262,EG,100.00%,precentral,,,,,,,
G101,-70,-2,23,EG,-60.917938,4.576516,20.631912,EG,100.00%,precentral,,,,,,,
G102,-68.666667,-6,27,EG,-59.594238,0.005906,22.904379,EG,100.00%,postcentral,,,,,,,
G103,-67.5,-11.5,31,EG,-59.495583,-4.906453,24.406321,EG,100.00%,postcentral,,,,,,,
G104,-68.666667,-15.333333,34,EG,-60.410675,-9.615651,26.276428,EG,100.00%,postcentral,,,,,,,
G105,-68,-18,35,EG,-59.042934,-12.970708,27.362984,EG,100.00%,postcentral,,,,,,,
G106,-60,26,-8,EG,-50.52309,38.446472,-1.089337,EG,100.00%,parstriangularis,,,,,,,
G107,-62,18,-1,EG,-52.183895,29.606316,3.691867,EG,100.00%,parsopercularis,,,,,,,
G108,-66,9.333333,4.666667,EG,-55.523121,19.475052,7.29541,EG,100.00%,parsopercularis,,,,,,,
G109,-68.857143,3.714286,10.857143,EG,-57.880524,13.183688,12.297472,EG,100.00%,precentral,,,,,,,
G110,-69.5,-5,17,EG,-59.499916,3.391608,15.835983,EG,66.42%,postcentral,33.58%,precentral,,,,,
G111,-70,-14.666667,26.666667,EG,-61.311546,-7.549438,20.190001,EG,100.00%,postcentral,,,,,,,
G112,-70,-4.666667,0.666667,EG,-61.639584,7.006991,1.991035,EG,100.00%,mSTG,,,,,,,
G113,-72,-13,9,EG,-63.511677,-2.55767,6.786865,EG,100.00%,mSTG,,,,,,,
G114,-72,-20,17,EG,-61.121044,-11.406814,11.916026,EG,100.00%,postcentral,,,,,,,
G115,-71.333333,-28,23.333333,EG,-61.073299,-20.275959,15.248943,EG,100.00%,supramarginal,,,,,,,
G116,-69.5,-2.5,-5.5,EG,-62.091908,10.221081,-4.154222,EG,100.00%,mSTG,,,,,,,
G117,-71.2,-7.2,-1.6,EG,-63.432247,5.436782,-1.293442,EG,100.00%,mSTG,,,,,,,
G118,-72.666667,-11.333333,0,EG,-63.330849,1.302389,-0.614095,EG,100.00%,mSTG,,,,,,,
G119,-72,-16,5,EG,-63.993656,-4.66889,2.427648,EG,100.00%,mSTG,,,,,,,
G120,-72,-20,9,EG,-63.434738,-9.319564,4.602539,EG,100.00%,mSTG,,,,,,,
G121,-70.666667,-22,11.333333,EG,-61.677589,-12.609262,6.248242,EG,83.28%,mSTG,16.72%,cSTG,,,,,
G122,-70,-26.666667,17.333333,EG,-60.598171,-18.907522,10.402897,EG,100.00%,supramarginal,,,,,,,
G123,-70,-31,20,EG,-60.860474,-22.434174,11.61499,EG,100.00%,supramarginal,,,,,,,
G124,-70.4,-9.2,-6.8,EG,-63.876862,4.040127,-6.33715,EG,100.00%,mSTG,,,,,,,
G125,-72.5,-17,2.5,EG,-63.013371,-5.964643,-0.411504,EG,100.00%,mSTG,,,,,,,
G126,-72,-27.333333,8.666667,EG,-63.722996,-16.91983,2.905125,EG,100.00%,cSTG,,,,,,,
G127,-70.857143,-34.857143,15.142857,EG,-62.160831,-25.710733,6.149589,EG,100.00%,cSTG,,,,,,,
G128,-72.857143,-12.857143,-10.857143,EG,-66.256554,1.626491,-10.650354,EG,100.00%,mMTG,,,,,,,
AT1,-26,-3,-47,S,-22.825693,15.893905,-39.883198,S,100.00%,fusiform,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AT2,-32,7,-51,S,-29.884758,26.671261,-41.527542,S,100.00%,fusiform,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AT3,-39,17,-46,S,-35.265575,34.570408,-35.01516,S,17.21%,rMTG,82.79%,temporalpole,NaN,NaN,NaN,NaN,NaN
AT4,-48,24,-39,S,-41.152218,37.746967,-27.320757,S,100.00%,rSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IT1,-21.333333,-18,-27.333333,S,-17.658243,-1.464745,-24.434235,S,100.00%,parahippocampal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IT2,-29,-16.666667,-35.333333,S,-24.763248,0.520873,-31.052975,S,100.00%,parahippocampal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IT3,-36.666667,-13.333333,-39.333333,S,-31.803415,4.513362,-36.873795,S,100.00%,fusiform,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IT4,-44.666667,-9.333333,-46,S,-39.25209,10.700727,-40.094074,S,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PT1,-46.4,-67.6,-20,S,-38.41433,-46.734184,-27.099993,S,100.00%,fusiform,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PT2,-51.2,-60.4,-22.8,S,-42.722652,-39.512981,-27.148678,S,100.00%,fusiform,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PT3,-56.5,-49.5,-27.5,S,-46.198921,-30.451124,-30.89954,S,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PT4,-60,-38,-29,S,-51.896519,-20.989531,-29.188169,S,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O1,-23.333333,-101.333333,6,S,-16.532843,-82.560631,-13.956372,S,100.00%,lateraloccipital,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O2,-33.333333,-97.333333,4,S,-25.229605,-77.720886,-14.935556,S,100.00%,lateraloccipital,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O3,-40,-91.333333,1.333333,S,-32.730015,-72.918663,-15.962211,S,100.00%,lateraloccipital,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O4,-47.2,-83.2,-0.4,S,-40.139553,-66.337929,-16.871984,S,100.00%,lateraloccipital,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O5,-53,-75,-5,S,-45.432503,-57.56583,-17.178516,S,100.00%,lateraloccipital,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O6,-59.2,-65.2,-7.6,S,-51.37796,-48.879253,-18.546328,S,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O7,-63.333333,-56,-8.666667,S,-56.910423,-40.876591,-17.544567,S,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O8,-69,-47.333333,-10.666667,S,-59.767391,-31.3859,-17.299051,S,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P1,-31,-78,53,S,-23.378674,-70.204239,31.746628,S,100.00%,inferiorparietal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P2,-41,-72,52,S,-32.79948,-65.470901,31.959442,S,100.00%,inferiorparietal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P3,-48.666667,-67.333333,50,S,-40.370201,-60.049995,30.638721,S,100.00%,inferiorparietal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P4,-57,-58.5,45.5,S,-47.030144,-51.564518,28.105875,S,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P5,-62,-52,40,S,-53.025764,-44.783142,25.759066,S,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P6,-66,-44,35,S,-57.35746,-36.588764,22.140272,S,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P7,-68,-34,29,S,-59.821796,-26.991943,18.056704,S,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P8,-70,-26,21,S,-60.710747,-17.389452,13.24215,S,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F1,-4.666667,54.666667,7,S,-3.094757,63.593952,16.958387,S,100.00%,superiorfrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F2,-6,65,17,S,-4.176816,68.151581,25.953585,S,100.00%,superiorfrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F3,-8.857143,68.857143,24.857143,S,-6.681836,71.225136,33.040035,S,100.00%,superiorfrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F4,-16,67.333333,28.666667,S,-13.02263,68.975159,36.446388,S,100.00%,superiorfrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F5,-25,64.5,27,S,-22.465681,66.292503,35.853218,S,100.00%,superiorfrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F6,-34,60,28,S,-30.086767,61.954315,35.265377,S,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F7,-43.142857,53.142857,26.857143,S,-38.019745,56.825821,33.42688,S,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
F8,-49,46,25,S,-44.967709,50.286121,30.242704,S,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IF1,-5,22,-24,S,-4.770214,37.901733,-16.543938,S,100.00%,medialorbitofrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IF2,-13,25,-27,S,-12.294245,40.537987,-18.907875,S,100.00%,lateralorbitofrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IF3,-26.666667,32.666667,-26,S,-23.417084,46.460857,-13.664572,S,100.00%,lateralorbitofrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IF4,-35.333333,35.333333,-24,S,-31.598907,48.339394,-10.621869,S,100.00%,lateralorbitofrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DAMT1,-14.857143,-10.857143,-16.857143,D,-12,4,-13,D,3.70%,Left-Hippocampus,96.30%,Left-VentralDC,NaN,NaN,NaN,NaN,NaN
DAMT2,-19.6,-9.2,-16.8,D,-16.714286,5.571429,-13.857143,D,14.81%,Unknown,85.19%,Left-Hippocampus,NaN,NaN,NaN,NaN,NaN
DAMT3,-25,-7,-17.333333,D,-21.428571,7.142857,-14.714286,D,88.89%,Left-Hippocampus,11.11%,Left-Amygdala,NaN,NaN,NaN,NaN,NaN
DAMT4,-30,-4.666667,-18.666667,D,-26.142857,8.714286,-15.571429,D,37.04%,Left-Hippocampus,62.96%,Left-Amygdala,NaN,NaN,NaN,NaN,NaN
DAMT5,-34,-3,-19,D,-30.857143,10.285714,-16.428571,D,40.74%,Left-Cerebral-White-Matter,11.11%,Left-Inf-Lat-Vent,3.70%,Left-Hippocampus,44.44%,Left-Amygdala,NaN
DAMT6,-39.333333,-1,-19,D,-35.571429,11.857143,-17.285714,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DAMT7,-45.2,2.8,-18.4,D,-40.285714,13.428571,-18.142857,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DAMT8,-51,4,-19,D,-45,15,-19,D,70.37%,Left-Cerebral-White-Matter,29.63%,ctx-lh-superiortemporal,NaN,NaN,NaN,NaN,NaN
DMPT1,-14,-21,-14,D,-18,-38,-11,D,11.11%,Left-Cerebral-White-Matter,85.19%,ctx-lh-lingual,3.70%,ctx-lh-parahippocampal,,,
DMPT2,-18,-18.142857,-13.714286,D,-22,-36,-11,D,18.52%,Left-Cerebral-White-Matter,18.52%,ctx-lh-lingual,62.96%,ctx-lh-parahippocampal,,,
DMPT3,-22,-15.285714,-13.428571,D,-27,-31.5,-12.5,D,74.07%,Left-Cerebral-White-Matter,25.93%,Left-Hippocampus,,,,,
DMPT4,-26,-12.428571,-13.142857,D,-31.142857,-27.142857,-12.285714,D,48.15%,Left-Cerebral-White-Matter,51.85%,Left-Hippocampus,,,,,
DMPT5,-30,-9.571429,-12.857143,D,-35,-23,-11,D,11.11%,Left-Cerebral-White-Matter,88.89%,Left-Hippocampus,,,,,
DMPT6,-34,-6.714286,-12.571429,D,-39.2,-20.4,-13.2,D,74.07%,Left-Cerebral-White-Matter,25.93%,Left-Hippocampus,,,,,
DMPT7,-38,-3.857143,-12.285714,D,-43,-17,-13,D,100.00%,Left-Cerebral-White-Matter,,,,,,,
DMPT8,-42,-1,-12,,-47.714286,-13.142857,-11.142857,D,96.30%,Left-Cerebral-White-Matter,3.70%,ctx-lh-superiortemporal,,,,,
DAI1,-37,8,-5,D,-32,19,-3,D,88.89%,Left-Cerebral-White-Matter,11.11%,Left-Putamen,NaN,NaN,NaN,NaN,NaN
DAI2,-42,8,-7,D,-36.333333,19.666667,-5.333333,D,33.33%,Left-Cerebral-White-Matter,66.67%,ctx-lh-insula,NaN,NaN,NaN,NaN,NaN
DAI3,-46,10,-10,D,-40.666667,20.333333,-7.666667,D,29.63%,Unknown,70.37%,ctx-lh-insula,NaN,NaN,NaN,NaN,NaN
DAI4,-50.8,10.8,-11.6,D,-45,21,-10,D,25.93%,Unknown,74.07%,ctx-lh-superiortemporal,NaN,NaN,NaN,NaN,NaN
DPI1,-28.5,-16.5,11.5,D,-25,-8,8,D,25.93%,Left-Cerebral-White-Matter,74.07%,Left-Putamen,NaN,NaN,NaN,NaN,NaN
DPI2,-35.2,-13.2,9.2,D,-29.333333,-5.333333,6.666667,D,81.48%,Left-Cerebral-White-Matter,18.52%,Left-Putamen,NaN,NaN,NaN,NaN,NaN
DPI3,-38.666667,-10,7.333333,D,-33.666667,-2.666667,5.333333,D,92.59%,Left-Cerebral-White-Matter,7.41%,ctx-lh-insula,NaN,NaN,NaN,NaN,NaN
DPI4,-44,-6.666667,5.333333,D,-38,0,4,D,51.85%,Left-Cerebral-White-Matter,48.15%,ctx-lh-insula,NaN,NaN,NaN,NaN,NaN
DPVH1,-25.142857,-63.142857,5.142857,D,-21,-49,-10,D,96.30%,Left-Cerebral-White-Matter,3.70%,WM-hypointensities,NaN,NaN,NaN,NaN,NaN
DPVH2,-28,-59,3,D,-23.818182,-45,-10,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DPVH3,-31,-55,1,D,-26.636364,-41,-10,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DPVH4,-34,-50.8,-1.6,D,-29.454545,-37,-10,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN,NaN,NaN
