labels,MNI_x,MNI_y,MNI_z,MNI_R,T1_x,T1_y,T1_z,T1_R,AR_Percentage,T1_AnatomicalRegion,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12,AR_13,AR_14
G33,-51.333333,29,41.333333,G,-47.89093,20.930481,47.247787,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G34,-60,25.333333,31.333333,G,-53.898842,18.030792,38.972916,G,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G35,-66,20,23,G,-57.058102,14.486431,30.379622,G,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G36,-66.5,13.5,14.5,G,-57.769405,9.970401,22.072903,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G37,-70,7,4,G,-59.997589,5.412601,12.977661,G,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G38,-70,1,-5,G,-60.746334,1.229453,3.878091,G,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G39,-71,-5,-13,G,-60.071362,-3.091522,-4.746652,G,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G40,-70.857143,-10.857143,-22.857143,G,-58.043346,-7.726787,-13.16189,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G41,-50,37,34,G,-45.39613,29.833796,42.497974,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G42,-59,34,25,G,-52.230473,27.498215,34.552967,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G43,-64.857143,28.857143,14.857143,G,-56.062336,23.787703,25.866728,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G44,-66,23,7,G,-56.308624,19.266893,17.166512,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G45,-64,16,-1,G,-54.555363,13.791749,8.332088,G,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G46,-65,10,-10,G,-55.647438,9.662572,-0.249213,G,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G47,-66,5,-20,G,-54.798012,5.042514,-9.073442,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G48,-65,-3,-28,G,-54.609024,0.655753,-17.415062,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G49,-48,47,28,G,-43.245003,38.109039,38.75872,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G50,-55.333333,42.666667,19.333333,G,-49.222988,35.470314,30.472483,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G51,-62,38,10,G,-52.175243,31.551054,21.777271,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G52,-63,33,0,G,-54.130127,27.786066,12.98877,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G53,-62,25.333333,-7.333333,G,-52.888508,22.833241,4.474609,G,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G54,-61,20,-17,G,-50.779598,18.09247,-4.306294,G,100.00%,rSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G55,-62,13,-27,G,-50.957294,13.213465,-13.04655,G,100.00%,rSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G56,-59,5.333333,-35,G,-49.870735,8.977128,-21.394299,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G57,-46,55,22,G,-41.104362,46.477283,34.026642,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G58,-52.857143,50.857143,12.857143,G,-45.443031,43.846264,25.941219,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G59,-56.8,46.8,2.8,G,-48.814922,40.461365,17.332441,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G60,-61,40,-6,G,-53.215351,36.862129,8.954774,G,64.62%,parstriangularis,35.38%,parsorbitalis,NaN,NaN,NaN,NaN,NaN,NaN
G61,-57,33.333333,-15,G,-49.254478,31.074875,0.069381,G,100.00%,parsorbitalis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G62,-55,26,-23,G,-46.346703,25.861847,-8.159905,G,100.00%,rSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G63,-54.666667,20,-33.333333,G,-45.972687,21.506029,-17.198235,G,100.00%,rSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G64,-51.333333,13.333333,-42.666667,G,-42.39584,16.42959,-25.063873,G,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G65,-54,-11.333333,59.333333,EG,-48.150677,-17.122324,59.384777,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G66,-61.2,-14.4,50.8,EG,-55.187592,-20.985666,51.866795,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G67,-68,-19.333333,43.333333,EG,-59.77343,-24.712488,42.719234,EG,100.00%,supramarginal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G68,-48,-4,61,EG,-43.429977,-10.955555,61.724567,EG,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G69,-55.333333,-5.333333,58,EG,-48.209335,-12.943432,57.437988,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G70,-59,-8,52,EG,-52.519348,-14.316457,53.31345,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G71,-61.333333,-9.333333,48,EG,-55.87141,-15.901469,49.541618,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G72,-65,-12.666667,43.333333,EG,-58.534481,-18.186926,44.688282,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G73,-68,-14.666667,39.333333,EG,-59.874271,-19.486189,40.97348,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G74,-54.8,-0.8,54.8,EG,-47.957233,-8.898372,54.869835,EG,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G75,-62,-5.333333,45.333333,EG,-55.870125,-11.436327,47.439709,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G76,-68,-11,37,EG,-59.999924,-15.262137,38.627789,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G77,-51,7.333333,55.333333,EG,-45.212299,-1.951429,56.577854,EG,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G78,-54,3,52,EG,-47.84235,-4.56421,52.495312,EG,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G79,-58,1,49,EG,-50.993538,-6.352845,49.066185,EG,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G80,-62,-1,43,EG,-55.131836,-7.368482,44.83606,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G81,-66,-3,38,EG,-58.093437,-8.919278,40.755043,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G82,-67.333333,-5.333333,34,EG,-60.49316,-10.977136,36.54575,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G83,-70,-9,30,EG,-62.005444,-13.248953,32.556263,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G84,-71,-13,25,EG,-62.871555,-15.088699,27.809958,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G85,-72.5,-15,20.5,EG,-63.003284,-16.724436,23.256306,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G86,-55,9.333333,49.333333,EG,-49.638134,0.629414,51.492096,EG,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G87,-62,5,41,EG,-54.949726,-2.453929,43.462353,EG,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G88,-68,-1,31,EG,-60.1189,-6.673715,34.53994,EG,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G89,-71,-7.333333,22.666667,EG,-62.337524,-9.967337,25.231459,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G90,-72.666667,-15,12.666667,EG,-62.901752,-15.058696,16.842222,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G91,-73,-21,4,EG,-62.661907,-19.897366,7.982636,EG,100.00%,cSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G92,-51,17,50,EG,-47.869339,7.469456,53.581379,EG,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G93,-57,14,46,EG,-51.10611,5.943759,49.56176,EG,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G94,-59.666667,13.333333,43,EG,-53.348583,4.00303,45.68203,EG,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G95,-63,10,39,EG,-55.932751,2.270377,41.744617,EG,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G96,-65.333333,7,33.333333,EG,-58.860142,0.625769,37.565456,EG,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G97,-67.5,2.5,29,EG,-60.803425,-2.013267,32.510944,EG,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G98,-69.2,0.8,24.8,EG,-61.549175,-3.845171,28.148134,EG,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G99,-71.142857,-3.142857,19.142857,EG,-62.234722,-5.60388,23.637962,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G100,-71,-6,14,EG,-62.81889,-7.783725,18.913641,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G101,-72,-9.333333,10.666667,EG,-62.819622,-9.94689,14.96939,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G102,-73,-12.666667,6.666667,EG,-62.680237,-12.885045,11.116022,EG,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G103,-73.333333,-15,1.333333,EG,-62.532074,-14.90471,5.985771,EG,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G104,-74,-18.666667,-3.333333,EG,-62.49889,-16.735619,1.95184,EG,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G105,-74,-22.666667,-7.333333,EG,-62.351803,-19.30629,-2.941682,EG,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G106,-55.333333,20,43.333333,EG,-51.615307,11.103325,47.348049,EG,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G107,-63,13.5,34.5,EG,-55.756889,6.423397,38.795929,EG,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G108,-68,8,25,EG,-60.183117,2.995465,30.238455,EG,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G109,-70,3,16,EG,-61.97858,-0.799426,21.008709,EG,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G110,-71.333333,-4.666667,7,EG,-62.343479,-5.165345,12.14736,EG,100.00%,postcentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G111,-73,-11.333333,-2.666667,EG,-62.34589,-10.454482,3.756433,EG,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G112,-68.4,10.8,8.8,EG,-58.862019,7.793167,17.68084,EG,100.00%,precentral,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G113,-70,4,1,EG,-60.713558,3.301935,8.147366,EG,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G114,-70.5,-1.5,-9,EG,-60.450462,-0.863868,-0.090373,EG,100.00%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G115,-71.333333,-8,-16.666667,EG,-59.424622,-5.550219,-8.673503,EG,45.50%,rMTG,54.50%,mMTG,NaN,NaN,NaN,NaN,NaN,NaN
G116,-66,18,10,EG,-56.080959,14.655891,19.847652,EG,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G117,-66,14.666667,6.666667,EG,-56.432743,11.92292,15.090667,EG,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G118,-67.5,11.5,0.5,EG,-57.59898,9.541419,10.374184,EG,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G119,-68,8,-3,EG,-58.379963,7.974338,5.851804,EG,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G120,-68.5,4.5,-7.5,EG,-58.651943,5.191985,1.786904,EG,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G121,-69,3,-12,EG,-58.014305,3.278621,-2.279533,EG,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G122,-68.5,-1.5,-17.5,EG,-57.666813,0.984256,-7.054509,EG,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G123,-69.5,-3,-21,EG,-57.075207,-1.132812,-11.5542,EG,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G124,-65,20,2,EG,-55.097683,16.696302,12.858193,EG,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G125,-65,13.333333,-6.666667,EG,-55.318134,11.752301,3.915671,EG,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G126,-66,7,-15,EG,-55.145649,7.510497,-4.26058,EG,100.00%,mSTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G127,-66,2,-25,EG,-54.671448,3.108408,-13.874445,EG,100.00%,rMTG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G128,-64,24.666667,-0.666667,EG,-54.654114,20.952021,10.645061,EG,100.00%,parstriangularis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IT1,-14.8,0.4,-31.2,S,-9.431543,5.603025,-19.076691,S,39.14%,entorhinal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IT2,-21.142857,-5.142857,-40.857143,S,-15.03598,1.396142,-27.010368,S,100.00%,entorhinal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IT3,-30,-7,-48,S,-23.239618,0.983531,-34.642113,S,100.00%,fusiform,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IT4,-41,-6.666667,-46.666667,S,-33.389729,0.864285,-32.849682,S,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IF1,-13,47.333333,-27.333333,S,-11.061484,47.387955,-6.374098,S,100.00%,lateralorbitofrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IF2,-24,45,-24,S,-20.174704,43.846584,-1.572966,S,100.00%,lateralorbitofrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IF3,-32.666667,44.666667,-22,S,-28.996717,42.722313,0.634245,S,100.00%,lateralorbitofrontal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IF4,-44.666667,43,-20.666667,S,-38.910587,42.526459,-0.531842,S,100.00%,parsorbitalis,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dAMT1,,,,,,,,,,,,,,,,,,
dAMT2,,,,,,,,,,,,,,,,,,
dAMT3,,,,,,,,,,,,,,,,,,
dAMT4,,,,,,,,,,,,,,,,,,
dAMT5,,,,,,,,,,,,,,,,,,
dAMT6,,,,,,,,,,,,,,,,,,
dPMT1,,,,,,,,,,,,,,,,,,
dPMT2,,,,,,,,,,,,,,,,,,
dPMT3,,,,,,,,,,,,,,,,,,
dPMT4,,,,,,,,,,,,,,,,,,
dPMT5,,,,,,,,,,,,,,,,,,
dPMT6,,,,,,,,,,,,,,,,,,
dAI1,,,,,,,,,,,,,,,,,,
dAI2,,,,,,,,,,,,,,,,,,
dAI3,,,,,,,,,,,,,,,,,,
dAI4,,,,,,,,,,,,,,,,,,
dAI5,,,,,,,,,,,,,,,,,,
dAI6,,,,,,,,,,,,,,,,,,
dPI1,,,,,,,,,,,,,,,,,,
dPI2,,,,,,,,,,,,,,,,,,
dPI3,,,,,,,,,,,,,,,,,,
dPI4,,,,,,,,,,,,,,,,,,
dPI5,,,,,,,,,,,,,,,,,,
dPI6,,,,,,,,,,,,,,,,,,
dMF1,,,,,,,,,,,,,,,,,,
dMF2,,,,,,,,,,,,,,,,,,
dMF3,,,,,,,,,,,,,,,,,,
dMF4,,,,,,,,,,,,,,,,,,
dMF5,,,,,,,,,,,,,,,,,,
dMF6,,,,,,,,,,,,,,,,,,
dSMA1,,,,,,,,,,,,,,,,,,
dSMA2,,,,,,,,,,,,,,,,,,
dSMA3,,,,,,,,,,,,,,,,,,
dSMA4,,,,,,,,,,,,,,,,,,
dSMA5,,,,,,,,,,,,,,,,,,
dSMA6,,,,,,,,,,,,,,,,,,
