labels,MNI_x,MNI_y,MNI_z,MNI_R,T1_x,T1_y,T1_z,T1_R,AR_Percentage,T1_AnatomicalRegion,AR_7,AR_8,AR_9,AR_10,AR_11
G43,-49.333333,16,-7.333333,G,-46.872932,35.762104,5.073411,G,100.00%,insula,,,,,
G44,-51.2,10.4,-7.2,G,-48.864189,26.102526,5.596934,G,100.00%,insula,,,,,
G45,-55,2,-5,G,-50.76379,16.982998,6.700966,G,100.00%,precentral,,,,,
G46,-67.5,-8.5,-5.5,G,-63.517712,8.994708,5.93065,G,100.00%,mSTG,,,,,
G47,-70.8,-17.2,-1.6,G,-67.77005,-0.4303,6.284034,G,100.00%,mSTG,,,,,
G48,-72,-25.333333,3.333333,G,-69.660172,-9.901032,8.111765,G,100.00%,cSTG,,,,,
G49,-43,31,-23.5,G,-42.114193,52.678749,-5.10659,G,100.00%,lateralorbitofrontal,,,,,
G50,-43.6,21.6,-20,G,-42.251369,41.920086,-3.713473,G,100.00%,lateralorbitofrontal,,,,,
G51,-43.333333,14,-15.333333,G,-43.062931,32.102966,-2.608681,G,100.00%,insula,,,,,
G52,-47.333333,9.333333,-16.333333,G,-44.126789,23.066959,-2.003951,G,100.00%,insula,,,,,
G53,-53.6,-0.8,-16.8,G,-48.413647,13.705995,-1.917472,G,100.00%,rSTG,,,,,
G54,-68,-12,-16,G,-62.987537,6.669778,-3.050763,G,100.00%,mSTG,,,,,
G55,-71.2,-21.2,-12.8,G,-67.643982,-2.596376,-3.013388,G,100.00%,mMTG,,,,,
G56,-73,-30,-7,G,-69.620796,-11.747849,-1.90773,G,100.00%,mMTG,,,,,
G57,-33.333333,28,-31.333333,G,-33.065327,47.014587,-11.348162,G,100.00%,lateralorbitofrontal,,,,,
G58,-34,19.090909,-30.909091,G,-32.189133,36.922146,-10.342746,G,100.00%,insula,,,,,
G59,-47.176471,14,-34.352941,G,-39.848145,29.040752,-10.358392,G,100.00%,insula,,,,,
G60,-50.133333,1.6,-36.533333,G,-41.749378,20.237488,-10.332209,G,100.00%,rSTG,,,,,
G61,-52.571429,-11.142857,-35.142857,G,-45.860149,11.333909,-9.680356,G,100.00%,rSTG,,,,,
G62,-55,-21,-29.333333,G,-48.808178,2.668536,-9.55654,G,100.00%,rSTG,,,,,
G63,-68,-27,-20,G,-63.994598,-5.260604,-11.599899,G,100.00%,rMTG,,,,,
G64,-70.666667,-34.666667,-17.333333,G,-66.095177,-13.647315,-11.186301,G,100.00%,mMTG,,,,,
G65,-47.333333,48,25.333333,EG,-46.367092,62.872196,43.772598,EG,100.00%,rostralmiddlefrontal,,,,,
G66,-48,39.333333,30.666667,EG,-46.781422,52.678028,46.321926,EG,100.00%,rostralmiddlefrontal,,,,,
G67,-51.333333,31.333333,35.333333,EG,-50.902588,43.370804,49.702736,EG,100.00%,rostralmiddlefrontal,,,,,
G68,-46.8,52.8,19.6,EG,-45.802319,67.100243,39.332024,EG,100.00%,rostralmiddlefrontal,,,,,
G69,-49,48,22,EG,-47.657288,62.51038,40.319317,EG,100.00%,rostralmiddlefrontal,,,,,
G70,-50.8,43.2,23.6,EG,-49.497299,57.990871,41.362072,EG,100.00%,rostralmiddlefrontal,,,,,
G71,-52,38.666667,26.666667,EG,-49.900269,52.276749,42.249027,EG,100.00%,rostralmiddlefrontal,,,,,
G72,-56,33,27,EG,-52.149174,45.905468,41.282524,EG,100.00%,rostralmiddlefrontal,,,,,
G73,-56.5,31.5,29,EG,-53.29398,43.157429,43.380451,EG,100.00%,rostralmiddlefrontal,,,,,
G74,-51.333333,46,19.333333,EG,-48.700558,60.941975,37.474991,EG,100.00%,rostralmiddlefrontal,,,,,
G75,-55,38,21,EG,-52.621281,52.71817,38.421104,EG,100.00%,rostralmiddlefrontal,,,,,
G76,-60,29.333333,25.333333,EG,-56.933857,42.446743,39.722256,EG,100.00%,parsopercularis,,,,,
G77,-53,50,11,EG,-51.696552,66.093628,31.704199,EG,100.00%,rostralmiddlefrontal,,,,,
G78,-55,46,13,EG,-52.083118,61.687389,32.746254,EG,100.00%,rostralmiddlefrontal,,,,,
G79,-56,38.666667,14.666667,EG,-52.783199,54.586082,32.977962,EG,100.00%,rostralmiddlefrontal,,,,,
G80,-58,36,18,EG,-55.742184,51.721714,34.593147,EG,79.71%,parstriangularis,20.29%,rostralmiddlefrontal,,,
G81,-60.5,33,18.5,EG,-56.164936,47.238762,34.140938,EG,100.00%,parstriangularis,,,,,
G82,-61.5,29,21.5,EG,-57.923832,42.033951,35.307743,EG,100.00%,parsopercularis,,,,,
G83,-63,24,23,EG,-59.726818,37.141804,36.340492,EG,100.00%,parsopercularis,,,,,
G84,-64.666667,18,26.666667,EG,-59.922253,30.472191,37.307732,EG,100.00%,parsopercularis,,,,,
G85,-63,15.333333,28.666667,EG,-56.057621,27.020397,38.431587,EG,100.00%,parsopercularis,,,,,
G86,-57.142857,44.857143,9.142857,EG,-54.146454,61.104786,28.156078,EG,100.00%,rostralmiddlefrontal,,,,,
G87,-61,36,11,EG,-57.057331,51.429794,28.403873,EG,100.00%,parstriangularis,,,,,
G88,-64,26,17,EG,-58.816841,40.801311,30.729874,EG,100.00%,parsopercularis,,,,,
G89,-65,15.5,22.5,EG,-59.858234,28.654243,33.154491,EG,100.00%,parsopercularis,,,,,
G90,-68,8,25,EG,-62.329227,20.014833,34.696369,EG,100.00%,precentral,,,,,
G91,-69,-2,29,EG,-65.010048,10.310802,36.073425,EG,100.00%,postcentral,,,,,
G92,-55,45,2,EG,-53.629536,64.922035,22.254805,EG,100.00%,rostralmiddlefrontal,,,,,
G93,-58,42,4,EG,-55.136749,60.766312,23.44651,EG,100.00%,parstriangularis,,,,,
G94,-60,38,6,EG,-57.793419,55.914051,24.162823,EG,100.00%,parstriangularis,,,,,
G95,-62,34,7,EG,-58.060043,50.789505,24.234722,EG,100.00%,parstriangularis,,,,,
G96,-64.8,29.6,10.8,EG,-60.172947,45.082859,26.04632,EG,100.00%,parstriangularis,,,,,
G97,-65.2,24.4,13.2,EG,-59.6446,39.754601,27.108418,EG,100.00%,parstriangularis,,,,,
G98,-67,18,15,EG,-60.231415,32.844723,27.309593,EG,100.00%,parsopercularis,,,,,
G99,-66,16.666667,17.333333,EG,-58.052761,30.198795,29.586409,EG,100.00%,parsopercularis,,,,,
G100,-65.333333,10,19.333333,EG,-58.590324,23.925743,29.130402,EG,100.00%,precentral,,,,,
G101,-68,6.666667,18.666667,EG,-61.4697,20.056446,28.511705,EG,100.00%,precentral,,,,,
G102,-69,1.333333,21.333333,EG,-64.686317,14.917472,30.16744,EG,100.00%,postcentral,,,,,
G103,-70.5,-2.5,23,EG,-66.385094,10.139636,31.104837,EG,100.00%,postcentral,,,,,
G104,-70,-8,25,EG,-65.067108,5.276948,31.910343,EG,100.00%,postcentral,,,,,
G105,-69.333333,-14,27.333333,EG,-65.210289,-0.611738,32.397728,EG,100.00%,postcentral,,,,,
G106,-61,40,-1,EG,-58.362915,58.867035,18.808006,EG,100.00%,parstriangularis,,,,,
G107,-63,32,4,EG,-58.897003,49.280678,20.314857,EG,100.00%,parstriangularis,,,,,
G108,-65.6,23.2,9.2,EG,-59.487549,38.43568,23.361162,EG,100.00%,parstriangularis,,,,,
G109,-65,14,10,EG,-58.356758,28.154346,22.79756,EG,100.00%,parsopercularis,,,,,
G110,-68,3,15,EG,-61.707996,17.207546,24.009369,EG,100.00%,postcentral,,,,,
G111,-71,-6,18,EG,-66.575905,8.353531,25.153061,EG,100.00%,postcentral,,,,,
G112,-66,9,1.333333,EG,-59.278099,24.607924,13.75351,EG,100.00%,parsopercularis,,,,,
G113,-66.666667,-2,8.666667,EG,-61.072044,13.862958,16.687788,EG,74.24%,postcentral,25.76%,precentral,,,
G114,-69.333333,-8,9.333333,EG,-65.579353,7.336976,16.379255,EG,100.00%,mSTG,,,,,
G115,-69.333333,-20,13.333333,EG,-64.998116,-4.15659,17.772175,EG,100.00%,supramarginal,,,,,
G116,-57,12,-3,EG,-52.998909,28.519691,9.205885,EG,100.00%,parsopercularis,,,,,
G117,-58,8,-2.666667,EG,-53.877918,23.434391,10.717388,EG,79.30%,parsopercularis,20.70%,precentral,,,
G118,-61.5,4,-2,EG,-55.870663,18.455954,9.381063,EG,100.00%,precentral,,,,,
G119,-65.5,-2,1.5,EG,-59.442829,12.521157,10.037058,EG,100.00%,mSTG,,,,,
G120,-66.4,-4.4,0.4,EG,-61.549343,10.316953,9.216132,EG,100.00%,mSTG,,,,,
G121,-71,-10,3,EG,-67.659798,5.821946,11.285803,EG,100.00%,mSTG,,,,,
G122,-70,-15,3,EG,-66.741821,0.777892,10.630321,EG,100.00%,mSTG,,,,,
G123,-71,-22,8,EG,-68.723824,-6.181067,13.120446,EG,41.07%,mSTG,58.93%,cSTG,,,
G124,-51.6,6.8,-6.8,EG,-47.448513,22.454657,6.489915,EG,100.00%,insula,,,,,
G125,-61,-3.5,-5.75,EG,-56.799511,11.985024,5.960549,EG,100.00%,mSTG,,,,,
G126,-71,-11,-3,EG,-67.327934,5.06742,6.393704,EG,100.00%,mSTG,,,,,
G127,-71,-22,1,EG,-68.48632,-5.338583,7.116498,EG,100.00%,cSTG,,,,,
G128,-47,4.5,-9.5,EG,-44.714386,19.905241,2.203414,EG,100.00%,insula,,,,,
OF1,-16,49,-26,S,-18.905563,75.065712,-2.109604,S,100.00%,lateralorbitofrontal,NaN,NaN,NaN,NaN,NaN
OF2,-25,46,-23,S,-26.303635,71.105606,0.414336,S,100.00%,lateralorbitofrontal,NaN,NaN,NaN,NaN,NaN
OF3,-33.333333,43.333333,-22,S,-34.30489,67.194077,0.126477,S,100.00%,lateralorbitofrontal,NaN,NaN,NaN,NaN,NaN
OF4,-49,38,-20,S,-46.537411,60.770233,0.032586,S,100.00%,parsorbitalis,NaN,NaN,NaN,NaN,NaN
F1,-20,73,8,S,-23.213428,94.674011,33.6245,S,100.00%,superiorfrontal,NaN,NaN,NaN,NaN,NaN
F2,-28,69,10,S,-30.916008,88.756035,35.082745,S,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN
F3,-37.142857,64.285714,13.142857,S,-38.80949,82.023102,37.116596,S,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN
F4,-44,56,15,S,-44.503162,73.096786,36.312458,S,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN
F5,-52,49.333333,15.333333,S,-49.071819,64.270622,35.876446,S,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN
F6,-56.666667,41,16.666667,S,-53.030254,55.669075,34.626968,S,83.52%,parstriangularis,16.48%,rostralmiddlefrontal,NaN,NaN,NaN
SF1,-23,17.333333,67.333333,S,-21.480967,25.922302,76.838943,S,100.00%,superiorfrontal,NaN,NaN,NaN,NaN,NaN
SF2,-32.666667,21.333333,61.666667,S,-29.998524,30.178137,73.55854,S,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN
SF3,-40,22,57,S,-38.549507,31.022175,68.958778,S,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN
SF4,-45,25,50,S,-43.655708,34.961723,61.100037,S,100.00%,caudalmiddlefrontal,NaN,NaN,NaN,NaN,NaN
SF5,-53,26.5,41.5,S,-50.223644,36.228527,53.585918,S,100.00%,rostralmiddlefrontal,NaN,NaN,NaN,NaN,NaN
SF6,-58,28,32,S,-54.501831,39.791538,44.893719,S,100.00%,parsopercularis,NaN,NaN,NaN,NaN,NaN
PT1,-43.2,-67.6,-19.2,S,-38.923901,-43.085224,-20.871197,S,100.00%,fusiform,NaN,NaN,NaN,NaN,NaN
PT2,-47,-58.666667,-24,S,-42.700031,-34.36425,-22.547709,S,100.00%,fusiform,NaN,NaN,NaN,NaN,NaN
PT3,-52,-50.5,-26.5,S,-46.962181,-25.214712,-21.552235,S,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN
PT4,-58.666667,-41.333333,-30,S,-52.084984,-16.04038,-22.818012,S,100.00%,inferiortemporal,NaN,NaN,NaN,NaN,NaN
AT1,-35,-27,-28,S,-32.666294,-3.563414,-17.281462,S,100.00%,parahippocampal,NaN,NaN,NaN,NaN,NaN
AT2,-37.5,-18.5,-34.5,S,-33.664116,5.225424,-18.253735,S,100.00%,entorhinal,NaN,NaN,NaN,NaN,NaN
AT3,-39.333333,-10,-42.666667,S,-35.350201,14.808957,-20.523607,S,100.00%,fusiform,NaN,NaN,NaN,NaN,NaN
AT4,-39,1,-49,S,-34.849842,24.660948,-20.883154,S,100.00%,temporalpole,NaN,NaN,NaN,NaN,NaN
DAMT1,-18,-14.666667,-18.666667,D,-17,7,-6,D,62.96%,Unknown,3.70%,Left-Cerebral-White-Matter,33.33%,Left-VentralDC,NaN
DAMT2,-21.333333,-12,-16.666667,D,-21,9.857143,-5.428571,D,22.22%,Unknown,77.78%,Left-Hippocampus,NaN,NaN,NaN
DAMT3,-26,-8,-15,D,-25,12.714286,-4.857143,D,55.56%,Left-Inf-Lat-Vent,44.44%,Left-Hippocampus,NaN,NaN,NaN
DAMT4,-30,-5,-17,D,-29,15.571429,-4.285714,D,77.78%,Left-Inf-Lat-Vent,22.22%,Left-Amygdala,NaN,NaN,NaN
DAMT5,-33,-0.5,-18.5,D,-33,18.428571,-3.714286,D,92.59%,Left-Cerebral-White-Matter,7.41%,ctx-lh-temporalpole,NaN,NaN,NaN
DAMT6,-38.285714,4.285714,-19.142857,D,-37,21.285714,-3.142857,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN
DAMT7,-43,8.5,-17.5,D,-41,24.142857,-2.571429,D,25.93%,ctx-lh-superiortemporal,74.07%,ctx-lh-insula,NaN,NaN,NaN
DAMT8,-46,11.666667,-15.666667,D,-45,27,-2,D,88.89%,Unknown,11.11%,ctx-lh-insula,NaN,NaN,NaN
DPMT1,-25.2,-44,-0.4,D,-24,-24,2,D,92.59%,Left-Cerebral-White-Matter,7.41%,ctx-lh-lingual,NaN,NaN,NaN
DPMT1,,,,,,,,,,,,,,,
DPMT2,-29,-40.5,-2,D,-27.571429,-20.571429,1.142857,D,40.74%,Left-Cerebral-White-Matter,55.56%,Left-Lateral-Ventricle,3.70%,Left-Hippocampus,NaN
DPMT3,-33.333333,-38,-3.333333,D,-31.142857,-17.142857,0.285714,D,100.00%,Left-Inf-Lat-Vent,NaN,NaN,NaN,NaN,NaN
DPMT4,-36,-33.2,-6.4,D,-34.714286,-13.714286,-0.571429,D,7.41%,Unknown,40.74%,Left-Cerebral-White-Matter,51.85%,Left-Inf-Lat-Vent,NaN
DPMT5,-41.25,-27.75,-11,D,-38.285714,-10.285714,-1.428571,D,77.78%,Left-Cerebral-White-Matter,14.81%,ctx-lh-fusiform,7.41%,ctx-lh-inferiortemporal,NaN
DPMT6,-46.166667,-23.833333,-14.166667,D,-41.857143,-6.857143,-2.285714,D,88.89%,Left-Cerebral-White-Matter,11.11%,ctx-lh-inferiortemporal,NaN,NaN,NaN
DPMT7,-51.777778,-21.777778,-17.333333,D,-45.428571,-3.428571,-3.142857,D,100.00%,Left-Cerebral-White-Matter,NaN,NaN,NaN,NaN,NaN
DPMT8,-55.428571,-19.428571,-22,D,-49,0,-4,D,77.78%,Left-Cerebral-White-Matter,3.70%,ctx-lh-middletemporal,18.52%,ctx-lh-superiortemporal,NaN
DAI1,-30.8,3.6,0.8,D,-30,20,14,D,100.00%,Left-Putamen,NaN,NaN,NaN,NaN,NaN
DAI2,-37,5,0,D,-34,22.666667,12.333333,D,40.74%,Left-Cerebral-White-Matter,59.26%,Left-Putamen,NaN,NaN,NaN
DAI3,-41,8,-2,D,-38,25.333333,10.666667,D,70.37%,Left-Cerebral-White-Matter,29.63%,ctx-lh-insula,NaN,NaN,NaN
DAI4,-45,10,-4,D,-42,28,9,D,7.41%,Left-Cerebral-White-Matter,92.59%,ctx-lh-insula,NaN,NaN,NaN
DPI1,-50.571429,-26.285714,7.428571,D,-45,-12,12,D,62.96%,Unknown,37.04%,ctx-lh-transversetemporal,NaN,NaN,NaN
DPI2,-54,-23,7,D,-48.333333,-8.333333,12,D,11.11%,Left-Cerebral-White-Matter,88.89%,ctx-lh-transversetemporal,NaN,NaN,NaN
DPI3,-56.857143,-19.142857,4.857143,D,-51.666667,-4.666667,12,D,48.15%,Unknown,51.85%,ctx-lh-transversetemporal,NaN,NaN,NaN
DPI4,-59.666667,-14.666667,4,D,-55,-1,12,D,14.81%,Unknown,14.81%,ctx-lh-superiortemporal,70.37%,ctx-lh-transversetemporal,NaN
