labels,MNI_x,MNI_y,MNI_z,MNI_R,T1_x,T1_y,T1_z,T1_R,AR_Percentage,T1_AnatomicalRegion,AR_7,AR_8,AR_9
G38,-67,14,9,G,-52.367844,26.446381,8.487905,G,100.00%,parsopercularis,NaN,NaN,NaN
G39,-67.5,11.5,-2.5,G,-51.269619,26.544468,-2.590001,G,100.00%,mSTG,NaN,NaN,NaN
G40,,,,,,,,,,,,,
G41,-35,35,52,G,-27.157948,27.823296,52.448502,G,100.00%,superiorfrontal,NaN,NaN,NaN
G42,-45.2,35.2,43.6,G,-35.935974,31.21423,45.730438,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN
G43,-53.2,33.2,35.6,G,-42.683037,33.078316,37.729759,G,100.00%,caudalmiddlefrontal,NaN,NaN,NaN
G44,-61,31,26,G,-47.692024,35.147957,28.304565,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN
G45,-65.6,27.2,15.2,G,-50.312096,36.593231,18.566471,G,100.00%,parsopercularis,NaN,NaN,NaN
G46,-65,22,5,G,-49.17094,35.782795,8.004839,G,100.00%,parstriangularis,NaN,NaN,NaN
G47,-62.666667,20,-5.333333,G,-46.497387,35.889549,-2.031842,G,100.00%,parstriangularis,NaN,NaN,NaN
G48,,,,,,,,,,,,,
G49,-32,45,48,G,-22.752834,36.744904,52.364971,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN
G50,-42,45,40,G,-31.735119,40.139149,45.710484,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN
G51,-50.5,42.5,31,G,-38.327721,42.198818,37.131294,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN
G52,-56.666667,40,20.666667,G,-43.257446,44.390778,28.876678,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN
G53,-61.333333,37.333333,12,G,-45.677876,45.310215,19.005798,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN
G54,-62,33,0,G,-44.611511,45.25,8.060094,G,100.00%,parstriangularis,NaN,NaN,NaN
G55,,,,,,,,,,,,,
G56,,,,,,,,,,,,,
G57,-28,53,42,G,-17.506184,45.187408,51.548687,G,100.00%,superiorfrontal,NaN,NaN,NaN
G58,-36.8,52.4,34.8,G,-25.530394,48.970581,44.290138,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN
G59,-45,51.5,26.5,G,-32.918507,51.303841,36.552235,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN
G60,-52.8,48.4,16.8,G,-38.275112,53.526436,27.98724,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN
G61,-56,46,7,G,-40.755272,54.214149,18.12995,G,100.00%,rostralmiddlefrontal,NaN,NaN,NaN
G62,-58.8,42.4,-4,G,-41.78236,55.392857,8.573977,G,22.85%,parstriangularis,77.15%,rostralmiddlefrontal,NaN
G63,,,,,,,,,,,,,
G64,,,,,,,,,,,,,
AT1,,,,,,,,,,,,,
AT2,,,,,,,,,,,,,
AT3,,,,,,,,,,,,,
AT4,,,,,,,,,,,,,
MT1,,,,,,,,,,,,,
MT2,,,,,,,,,,,,,
MT3,,,,,,,,,,,,,
MT4,,,,,,,,,,,,,
PT1,,,,,,,,,,,,,
PT2,,,,,,,,,,,,,
PT3,,,,,,,,,,,,,
PT4,,,,,,,,,,,,,
IO1,,,,,,,,,,,,,
IO2,,,,,,,,,,,,,
IO3,,,,,,,,,,,,,
IO4,,,,,,,,,,,,,
IO5,,,,,,,,,,,,,
IO6,,,,,,,,,,,,,
IO7,,,,,,,,,,,,,
IO8,,,,,,,,,,,,,
SO1,,,,,,,,,,,,,
SO2,,,,,,,,,,,,,
SO3,,,,,,,,,,,,,
SO4,,,,,,,,,,,,,
SO5,,,,,,,,,,,,,
SO6,,,,,,,,,,,,,
SO7,,,,,,,,,,,,,
SO8,,,,,,,,,,,,,
SO9,,,,,,,,,,,,,
SO10,,,,,,,,,,,,,
PF1,,,,,,,,,,,,,
PF2,,,,,,,,,,,,,
PF3,,,,,,,,,,,,,
PF4,,,,,,,,,,,,,
PF5,,,,,,,,,,,,,
PF6,,,,,,,,,,,,,
SF1,,,,,,,,,,,,,
SF2,,,,,,,,,,,,,
SF3,,,,,,,,,,,,,
SF4,,,,,,,,,,,,,
SF5,,,,,,,,,,,,,
SF6,,,,,,,,,,,,,
AF1,-3,57,-5,S,8.617244,66.043777,17.833874,S,100.00%,medialorbitofrontal,NaN,NaN,NaN
AF2,-4.8,66.4,3.2,S,7.904613,70.730537,26.893429,S,100.00%,frontalpole,NaN,NaN,NaN
AF3,-10,73.333333,12.666667,S,2.545006,73.525658,36.197323,S,100.00%,superiorfrontal,NaN,NaN,NaN
AF4,-17,71.333333,20.666667,S,-5.279553,69.524513,42.144604,S,100.00%,superiorfrontal,NaN,NaN,NaN
AF5,-24.666667,68,24.666667,S,-12.430342,65.116486,44.062592,S,100.00%,superiorfrontal,NaN,NaN,NaN
AF6,-29,60.666667,30.666667,S,-18.749172,57.744362,45.243523,S,100.00%,superiorfrontal,NaN,NaN,NaN
AF7,,,,,,,,,,,,,
AF8,,,,,,,,,,,,,
IF1,-23.333333,36,-27.333333,S,-11.929891,55.702724,-9.36051,S,100.00%,lateralorbitofrontal,NaN,NaN,NaN
IF2,-34.8,38.8,-25.2,S,-21.079817,58.127735,-8.367157,S,100.00%,lateralorbitofrontal,NaN,NaN,NaN
IF3,-48,38,-21,S,-32.742241,57.879784,-7.301847,S,100.00%,parsorbitalis,NaN,NaN,NaN
IF4,-58,39.333333,-11.333333,S,-40.431347,55.759956,2.118634,S,64.39%,parstriangularis,35.61%,parsorbitalis,NaN
DAMT1,,,,,,,,,,,,,
DAMT2,,,,,,,,,,,,,
DAMT3,,,,,,,,,,,,,
DAMT4,,,,,,,,,,,,,
DAMT5,,,,,,,,,,,,,
DAMT6,,,,,,,,,,,,,
DAMT7,,,,,,,,,,,,,
DAMT8,,,,,,,,,,,,,
DPMT1,,,,,,,,,,,,,
DPMT2,,,,,,,,,,,,,
